tipo|titulo|autores|editorial|año|ciudad|bibliografia|link|soporte|descripcion
book|Estética Relacional|Bourriaud, Nicolás|Adriana Hidalgo Editora|2008|Buenos Aires|Bibliografía Específica de la carrera|||
book|Postproducción|Bourriaud, Nicolás|Adriana Hidalgo Editora|2009|Buenos Aires|Bibliografía Específica de la carrera|||
book|Radicante|Bourriaud, Nicolás|Adriana Hidalgo Editora|2009|Buenos Aires|Bibliografía Específica de la carrera|||
book|Arte y Percepción Visual|Arnheim, Rudolf|Alianza|2008|España|Bibliografía Específica de la carrera|||
book|Catedral|Carver, Raymond|Anagrama|2012|Buenos Aires|Bibliografía Específica de la carrera|||
book|Manifiestos del surrealismo|Breton, André|Argonauta|2001|Buenos Aires|Bibliografía Específica de la carrera|||
book|The Reflective Practitioner. How Professionals Think In Action|Schon, Donald |Basic Books|1983|USA|Bibliografía Específica de la carrera|||
book|Entre la tecnociencia y el deseo|Diaz, Esther|Biblos|2010|Buenos Aires|Bibliografía Específica de la carrera|||
book|Cine 1. Bergson y las imágenes|Deleuze, Gilles|Cactus|2009|Buenos Aires|Bibliografía Específica de la carrera|||
book|Desconfiar de las imágenes|Farocki, Harun|Caja Negra|2013|Buenos Aires|Bibliografía Específica de la carrera|||
book|Pensamientos verticales|Feldman, Morton|Caja Negra|2012|Buenos Aires|Bibliografía Específica de la carrera|||
book|La producción cinematográfica|Cabezón, Luis; Gómez Urdá, Félix |Cátedra|2010|España|Bibliografía Específica de la carrera|||
book|Madame Bovary|Flaubert, Gustave|Colihue|2008|Buenos Aires|Bibliografía Específica de la carrera|||
book|Dialéctica de la Ilustración. Obra Completa 3|Adorno, Theodor Ludwig |Ediciones Akal|2007|España|Bibliografía Específica de la carrera|||
book|Monografías musicales. Ensayo sobre Wagner. Mahler, una fisionomía musical. Berg, el maestro de la transición mínima.|Adorno, Theodor Ludwig |Ediciones Akal|2008|España|Bibliografía Específica de la carrera|||
book|Teoría Estética|Adorno, Theodor Ludwig |Ediciones Akal|2011|España|Bibliografía Específica de la carrera|||
book|El retorno de lo real. La vanguardia a finales de siglo|Foster, Hal|Ediciones Akal|2011|España|Bibliografía Específica de la carrera|||
book|Imagen del mito. El hilo de Ariadna|Campbell, Joseph|Ediciones Atalanta|2012|Buenos Aires|Bibliografía Específica de la carrera|||
book|Montaje con montajes|Galasse, Danilo|Ediciones Corregidor|2006|Buenos Aires|Bibliografía Específica de la carrera|||
book|El poder de la imagen. Reflexiones sobre comunicación visual|Frascara, Jorge|Ediciones Infinito|2006|Buenos Aires|Bibliografía Específica de la carrera|||
book|Las grandes películas|Ebert, Roger|Ediciones Robinbook|2003|España|Bibliografía Específica de la carrera|||
book|Seis propuestas para el próximo milenio|Calvino, Italo|Ediciones Siruela|2010|España|Bibliografía Específica de la carrera|||
book|Qué es la filosofía|Deleuze, Gilles|Editorial Anagrama|2009|España|Bibliografía Específica de la carrera|||
book|Francis Bacon. Lógica de la sensación|Deleuze, Gilles|Editorial Arena|2009|España|Bibliografía Específica de la carrera|||
book|Tratado de la Pintura|Da Vinci, Leonardo|Editorial Distal|2010|Buenos Aires|Bibliografía Específica de la carrera|||
book|Historias de Películas|Alsina Thevenet, Homero|El Cuenco de Plata|2007|Buenos Aires|Bibliografía Específica de la carrera|||
book|Obras Completas 2|Borges, Jorge Luis|Emecé|2010|Buenos Aires|Bibliografía Específica de la carrera|||
